model_name,dataset,optimizer_type,accuracy,f1_score,training_time,epochs_completed,gpu_memory_mb,flops,source_file,hyperparameters,status,auprc,training_time_per_epoch,auroc,precision,recall,gpu_temp_max,gpu_temp_avg,rank
TimeHUT,AtrialFibrillation,,0.3333333333333333,0.0,21.248422384262085,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_213446/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'repr_dims': 320, 'n_iters': 200, 'seed': 42}",master_benchmark,0.3915079365079365,0.0,0.3915079365079365,0.0,0.0,,,16
TimeHUT,AtrialFibrillation,,0.3333333333333333,0.0,21.0175564289093,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_224509/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'repr_dims': 320, 'n_iters': 200, 'seed': 42}",master_benchmark,0.3915079365079365,0.0,0.3915079365079365,0.0,0.0,,,16
MF_CLR,AtrialFibrillation,,0.3333,0.3333,34.00759148597717,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_225357/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.0,0.0,0.0,0.0,0.0,,,17
TNC,Chinatown,,0.3207,0.3071,25.71592950820923,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_221243/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'TNC', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.5022,0.0,0.4772,0.47,0.4825,,,18
TS_TCC,AtrialFibrillation,,0.2667,0.1991,8.823753118515015,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_224222/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.0,0.0,0.0,0.0,0.0,,,19
CoST,AtrialFibrillation,,0.2667,0.1404,147.927348613739,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_223630/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'CoST', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.0,0.0,0.0,0.0,0.0,,,19
TLoss,AtrialFibrillation,,0.2667,0.2323,384.39837741851807,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_224628/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'TLoss', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.0,0.0,0.0,0.0,0.0,,,19
TS2vec,AtrialFibrillation,,0.26666666666666666,0.0,12.748755931854248,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_224509/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.36557775557775557,10.611612,0.0,0.0,0.0,,,20
TS2vec,AtrialFibrillation,,0.26666666666666666,0.0,12.879830121994019,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_221436/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.36795870795870794,10.692868,0.0,0.0,0.0,,,20
TS2vec,AtrialFibrillation,,0.26666666666666666,0.0,13.101895093917847,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_213446/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.36557775557775557,10.740162,0.0,0.0,0.0,,,20
